,actividad,is_apellido1,is_apellido2,is_celular,is_direccion,is_fnac,is_nombre,is_nombrecompleto,is_nrofam,is_presencial,is_profesion,is_recontacto,is_remoto,is_telefono,loc_comuna,loc_provincia,loc_region,medio_inicial,sexo
1437,profesional,True,True,True,True,True,True,True,True,False,True,False,False,False,san pedro de la paz,concepcion,bio-bio,recorrido por el sector,masculino
1438,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1440,empleado,True,True,True,False,True,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,femenino
1443,empleado,True,True,True,True,True,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,finco,masculino
1445,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,talcahuano,concepcion,bio-bio,internet,femenino
1446,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,internet,femenino
1447,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,talcahuano,concepcion,bio-bio,finco,femenino
1448,empleado,True,True,True,False,False,True,True,True,False,False,False,False,False,otro,otro,bio-bio,recorrido por el sector,femenino
1449,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1452,profesional,True,True,True,True,True,True,True,True,False,True,False,False,False,huechuraba,santiago,metropolitana,internet,masculino
1454,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1455,tecnico,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,femenino
1457,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,talcahuano,concepcion,bio-bio,internet,masculino
1459,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1460,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,letreros,masculino
1462,empleado,True,False,True,False,False,True,True,False,False,False,False,False,False,otro,otro,otro,recontacto,masculino
1466,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,femenino
1469,profesional,True,True,True,True,False,True,True,True,False,True,False,False,False,san pedro de la paz,concepcion,bio-bio,finco,masculino
1470,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,talcahuano,concepcion,bio-bio,recorrido por el sector,femenino
1471,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,True,concepcion,concepcion,bio-bio,finco,masculino
1474,sin informacion,True,True,True,True,False,True,True,False,False,False,False,False,True,otro,otro,bio-bio,recorrido por el sector,femenino
1475,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1476,empleado,True,False,True,False,False,True,True,False,False,False,False,False,True,santiago,santiago,metropolitana,internet,femenino
1478,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1480,empleado,True,False,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recontacto,masculino
1481,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,True,concepcion,concepcion,bio-bio,internet,masculino
1482,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1483,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,otro,otro,otro,recorrido por el sector,masculino
1484,empleado,True,False,True,False,False,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1486,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1488,profesional,True,True,True,True,True,True,True,True,False,True,False,False,False,san pedro de la paz,concepcion,bio-bio,referidos,femenino
